EPotencial:	ECinetica:	ETotal:
-0.000223,	0.000112,	-0.000111
-0.000445,	0.000224,	-0.000221
-0.000668,	0.000336,	-0.000332
-0.000890,	0.000448,	-0.000442
-0.001113,	0.000560,	-0.000553
-0.001335,	0.000672,	-0.000663
-0.001558,	0.000784,	-0.000774
-0.001781,	0.000896,	-0.000884
-0.002003,	0.001008,	-0.000995
-0.002226,	0.001121,	-0.001105
-0.002448,	0.001233,	-0.001216
-0.002671,	0.001345,	-0.001326
-0.002894,	0.001457,	-0.001437
-0.003116,	0.001569,	-0.001547
-0.003339,	0.001681,	-0.001658
-0.003561,	0.001793,	-0.001768
-0.003784,	0.001905,	-0.001879
-0.004006,	0.002017,	-0.001989
-0.004229,	0.002129,	-0.002100
-0.004452,	0.002241,	-0.002210
-0.004674,	0.002353,	-0.002321
-0.004897,	0.002465,	-0.002432
-0.005119,	0.002577,	-0.002542
-0.005342,	0.002689,	-0.002653
-0.005564,	0.002801,	-0.002763
-0.005787,	0.002913,	-0.002874
-0.006010,	0.003025,	-0.002984
-0.006232,	0.003138,	-0.003095
-0.006455,	0.003250,	-0.003205
-0.006677,	0.003362,	-0.003316
-0.006900,	0.003474,	-0.003426
-0.007123,	0.003586,	-0.003537
-0.007345,	0.003698,	-0.003647
-0.007568,	0.003810,	-0.003758
-0.007790,	0.003922,	-0.003868
-0.008013,	0.004034,	-0.003979
-0.008235,	0.004146,	-0.004089
-0.008458,	0.004258,	-0.004200
-0.008681,	0.004370,	-0.004310
-0.008903,	0.004482,	-0.004421
-0.009126,	0.004594,	-0.004531
-0.009348,	0.004706,	-0.004642
-0.009571,	0.004818,	-0.004753
-0.009793,	0.004930,	-0.004863
-0.010016,	0.005042,	-0.004974
-0.010239,	0.005155,	-0.005084
-0.010461,	0.005267,	-0.005195
-0.010684,	0.005379,	-0.005305
-0.010906,	0.005491,	-0.005416
-0.011129,	0.005603,	-0.005526
-0.011352,	0.005715,	-0.005637
-0.011574,	0.005827,	-0.005747
-0.011797,	0.005939,	-0.005858
-0.012019,	0.006051,	-0.005968
-0.012242,	0.006163,	-0.006079
-0.012464,	0.006275,	-0.006189
-0.012687,	0.006387,	-0.006300
-0.012910,	0.006499,	-0.006410
-0.013132,	0.006611,	-0.006521
-0.013355,	0.006723,	-0.006631
-0.013577,	0.006835,	-0.006742
